split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,brier_score
threshold_selection,0.26,0.9592128898072741,0.7712944332662642,0.8763017526035052,0.8204518430439952,0.9832055201144361,0.9228688919320861,0.030920823950792667,0.12369824739649479,64123,2046,974,6900,0.0232579852039276
threshold_selection,0.27,0.9621301135826479,0.7973258268824771,0.8633477266954533,0.8290243902439024,0.9832055201144361,0.9228688919320861,0.026114948087472986,0.1366522733045466,64441,1728,1076,6798,0.0232579852039276
threshold_selection,0.28,0.9621301135826479,0.7973258268824771,0.8633477266954533,0.8290243902439024,0.9832055201144361,0.9228688919320861,0.026114948087472986,0.1366522733045466,64441,1728,1076,6798,0.0232579852039276
threshold_selection,0.29,0.9621301135826479,0.7973258268824771,0.8633477266954533,0.8290243902439024,0.9832055201144361,0.9228688919320861,0.026114948087472986,0.1366522733045466,64441,1728,1076,6798,0.0232579852039276
threshold_selection,0.3,0.9621301135826479,0.7973258268824771,0.8633477266954533,0.8290243902439024,0.9832055201144361,0.9228688919320861,0.026114948087472986,0.1366522733045466,64441,1728,1076,6798,0.0232579852039276
threshold_selection,0.31,0.9653444620018098,0.8335847159376572,0.8422656845313691,0.8379027163613393,0.9832055201144361,0.9228688919320861,0.020009369946651756,0.15773431546863093,64845,1324,1242,6632,0.0232579852039276
threshold_selection,0.32,0.9653444620018098,0.8335847159376572,0.8422656845313691,0.8379027163613393,0.9832055201144361,0.9228688919320861,0.020009369946651756,0.15773431546863093,64845,1324,1242,6632,0.0232579852039276
threshold_selection,0.33,0.9653444620018098,0.8335847159376572,0.8422656845313691,0.8379027163613393,0.9832055201144361,0.9228688919320861,0.020009369946651756,0.15773431546863093,64845,1324,1242,6632,0.0232579852039276
threshold_selection,0.34,0.9653579676674365,0.8336895034569454,0.8422656845313691,0.8379556510202792,0.9832055201144361,0.9228688919320861,0.019994257129471504,0.15773431546863093,64846,1323,1242,6632,0.0232579852039276
threshold_selection,0.35,0.9653579676674365,0.8336895034569454,0.8422656845313691,0.8379556510202792,0.9832055201144361,0.9228688919320861,0.019994257129471504,0.15773431546863093,64846,1323,1242,6632,0.0232579852039276
threshold_selection,0.36,0.9673297948489391,0.8680340035082985,0.816992633985268,0.8417402682368335,0.9832055201144361,0.9228688919320861,0.014780335202285057,0.18300736601473203,65191,978,1441,6433,0.0232579852039276
threshold_selection,0.37,0.9686938670772389,0.8894028595458369,0.8058166116332233,0.8455490405117271,0.9832055201144361,0.9228688919320861,0.0119240127552177,0.19418338836677673,65380,789,1529,6345,0.0232579852039276
threshold_selection,0.38,0.9686803614116122,0.889387354549278,0.8056896113792228,0.8454721130139269,0.9832055201144361,0.9228688919320861,0.0119240127552177,0.19431038862077724,65380,789,1530,6344,0.0232579852039276
threshold_selection,0.39,0.9686803614116122,0.889387354549278,0.8056896113792228,0.8454721130139269,0.9832055201144361,0.9228688919320861,0.0119240127552177,0.19431038862077724,65380,789,1530,6344,0.0232579852039276
threshold_selection,0.4,0.9686803614116122,0.889387354549278,0.8056896113792228,0.8454721130139269,0.9832055201144361,0.9228688919320861,0.0119240127552177,0.19431038862077724,65380,789,1530,6344,0.0232579852039276
threshold_selection,0.41,0.9686803614116122,0.889387354549278,0.8056896113792228,0.8454721130139269,0.9832055201144361,0.9228688919320861,0.0119240127552177,0.19431038862077724,65380,789,1530,6344,0.0232579852039276
threshold_selection,0.42,0.9686803614116122,0.889387354549278,0.8056896113792228,0.8454721130139269,0.9832055201144361,0.9228688919320861,0.0119240127552177,0.19431038862077724,65380,789,1530,6344,0.0232579852039276
threshold_selection,0.43,0.9687208784084924,0.892292490118577,0.8027686055372111,0.8451664661050943,0.9832055201144361,0.9228688919320861,0.011531079508531186,0.19723139446278892,65406,763,1553,6321,0.0232579852039276
threshold_selection,0.44,0.9687208784084924,0.892292490118577,0.8027686055372111,0.8451664661050943,0.9832055201144361,0.9228688919320861,0.011531079508531186,0.19723139446278892,65406,763,1553,6321,0.0232579852039276
threshold_selection,0.45,0.9687208784084924,0.892292490118577,0.8027686055372111,0.8451664661050943,0.9832055201144361,0.9228688919320861,0.011531079508531186,0.19723139446278892,65406,763,1553,6321,0.0232579852039276
threshold_selection,0.46,0.9687073727428657,0.8922772836368771,0.8026416052832106,0.8450892558668183,0.9832055201144361,0.9228688919320861,0.011531079508531186,0.19735839471678943,65406,763,1554,6320,0.0232579852039276
threshold_selection,0.47,0.9693016220304418,0.9272311212814646,0.7719075438150876,0.8424700256428027,0.9832055201144361,0.9228688919320861,0.007208813794979522,0.22809245618491236,65692,477,1796,6078,0.0232579852039276
threshold_selection,0.48,0.9693016220304418,0.9272311212814646,0.7719075438150876,0.8424700256428027,0.9832055201144361,0.9228688919320861,0.007208813794979522,0.22809245618491236,65692,477,1796,6078,0.0232579852039276
threshold_selection,0.49,0.9693016220304418,0.9272311212814646,0.7719075438150876,0.8424700256428027,0.9832055201144361,0.9228688919320861,0.007208813794979522,0.22809245618491236,65692,477,1796,6078,0.0232579852039276
